district,population_est,district_area_sqkm,park_area_sqkm,green_area_sqkm,green_pct_of_district,park_sqm_per_capita,green_sqm_per_capita,who_9_gap
Thawi Watthana District,78480,50.078,0.817,3.332,6.65,10.41,42.45,-33.45
Pathum Wan District,40330,8.161,1.163,1.682,20.61,28.84,41.7,-32.7
Bang Khun Thian District,183120,124.791,0.522,7.466,5.98,2.85,40.77,-31.77
Dusit District,77935,11.289,1.731,2.406,21.31,22.21,30.87,-21.87
Lat Krabang District,177125,128.308,0.45,5.339,4.16,2.54,30.14,-21.14
Khan Na Yao District,94830,25.51,0.263,2.116,8.29,2.78,22.31,-13.31
Nong Chok District,179850,238.001,0.181,3.629,1.52,1.01,20.18,-11.18
Min Buri District,140064,59.985,0.11,2.823,4.71,0.79,20.15,-11.15
Huai Khwang District,82840,16.298,0.221,1.575,9.67,2.67,19.02,-10.02
Don Mueang District,165134,36.994,0.261,3.074,8.31,1.58,18.62,-9.62
Phaya Thai District,64854,9.246,0.592,1.133,12.25,9.13,17.46,-8.46
Thung Khru District,122625,27.62,0.295,2.102,7.61,2.4,17.14,-8.14
Bang Na District,85565,19.052,0.157,1.399,7.34,1.83,16.34,-7.34
Chatuchak District,152599,32.561,1.691,2.48,7.62,11.08,16.25,-7.25
Taling Chan District,100825,35.665,0.274,1.561,4.38,2.72,15.48,-6.48
Yan Nawa District,73575,12.485,0.394,1.075,8.61,5.36,14.61,-5.61
Khlong Toei District,89925,13.47,1.005,1.279,9.5,11.18,14.23,-5.23
Phra Nakhon District,41420,5.38,0.403,0.57,10.59,9.72,13.76,-4.76
Lak Si District,99735,22.801,0.502,1.346,5.9,5.04,13.49,-4.49
Prawet District,181485,53.909,1.091,2.084,3.87,6.01,11.48,-2.48
Saphan Sung District,95375,27.912,0.212,1.0,3.58,2.23,10.48,-1.48
Khlong Sam Wa District,207645,115.003,0.496,2.168,1.89,2.39,10.44,-1.44
Sathon District,71940,7.219,0.499,0.723,10.01,6.93,10.04,-1.04
Bueng Kum District,136794,23.39,0.383,1.301,5.56,2.8,9.51,-0.51
Ratchathewi District,65945,7.188,0.161,0.578,8.05,2.44,8.77,0.23
Bang Khae District,190750,47.843,0.279,1.651,3.45,1.46,8.66,0.34
Nong Khaem District,154235,36.232,0.122,0.982,2.71,0.79,6.37,2.63
Chom Thong District,142245,22.29,0.03,0.887,3.98,0.21,6.23,2.77
Bang Rak District,43600,3.938,0.165,0.271,6.89,3.8,6.22,2.78
Bang Kapi District,140064,27.617,0.29,0.844,3.06,2.07,6.03,2.97
Bang Sue District,118265,12.944,0.101,0.657,5.08,0.85,5.56,3.44
Bang Kho Laem District,78480,8.438,0.109,0.411,4.88,1.39,5.24,3.76
Bang Bon District,100280,34.025,0.196,0.513,1.51,1.96,5.11,3.89
Lat Phrao District,113360,21.293,0.077,0.554,2.6,0.68,4.89,4.11
Din Daeng District,110090,8.459,0.331,0.471,5.57,3.0,4.28,4.72
Suan Luang District,121535,24.367,0.111,0.505,2.07,0.92,4.16,4.84
Bangkok Noi District,98645,12.405,0.114,0.398,3.21,1.15,4.03,4.97
Bang Phlat District,86655,11.824,0.052,0.306,2.59,0.6,3.53,5.47
Phra Khanong District,85565,13.174,0.013,0.272,2.06,0.16,3.18,5.82
Bang Khen District,183665,40.797,0.233,0.533,1.31,1.27,2.9,6.1
Vadhana District,80115,12.97,0.101,0.226,1.75,1.26,2.83,6.17
Rat Burana District,75755,12.553,0.048,0.199,1.59,0.63,2.63,6.37
Khlong San District,65945,5.961,0.055,0.169,2.83,0.84,2.56,6.44
Bangkok Yai District,61040,6.251,0.03,0.131,2.1,0.5,2.15,6.85
Sai Mai District,207100,43.338,0.158,0.38,0.88,0.76,1.84,7.16
Phasi Charoen District,120990,19.239,0.097,0.172,0.89,0.8,1.42,7.58
Wang Thonglang District,103550,17.087,0.037,0.143,0.84,0.36,1.38,7.62
Pom Prap Sattru Phai District,39240,2.524,0.006,0.033,1.3,0.15,0.84,8.16
Samphanthawong District,20165,1.428,0.01,0.014,0.98,0.49,0.69,8.31
Thon Buri District,98645,8.083,0.018,0.057,0.71,0.18,0.58,8.42
