district,fetch_mode,priority_reason,n_parcels,total_parcel_area_sqm
Bang Kho Laem District,seeded,UHI:Severe;intercept:43%,4020,2671539.2
Bang Na District,seeded,manual,4127,4845389.7
Bang Phlat District,seeded,UHI:Severe,5327,2824679.3
Bang Rak District,full,UHI:Severe;intercept:95%,13708,3842564.3
Bang Sue District,seeded,UHI:Severe,3960,2582454.0
Bangkok Yai District,seeded,UHI:Severe,3436,1735564.5
Chatuchak District,seeded,UHI:Severe,15809,15047060.7
Din Daeng District,seeded,UHI:Severe;intercept:39%,6951,3745950.0
Dusit District,seeded,UHI:Severe,3869,8171773.7
Khlong San District,seeded,UHI:Severe,5307,2029948.3
Khlong Toei District,full,intercept:32%,16110,12388562.9
Pathum Wan District,seeded,UHI:Severe,3907,7451578.6
Phaya Thai District,seeded,UHI:Severe,4178,3713914.4
Phra Nakhon District,seeded,UHI:Severe,10502,4761999.3
Pom Prap Sattru Phai District,seeded,UHI:Severe,5362,1998141.9
Ratchathewi District,seeded,UHI:Severe,6355,5383870.6
Samphanthawong District,seeded,UHI:Severe,6513,1216664.8
Sathon District,full,UHI:Severe;intercept:66%,22042,7113184.1
Thon Buri District,seeded,UHI:Severe,4580,2555051.6
Vadhana District,seeded,UHI:Severe,13434,7080925.1
Yan Nawa District,seeded,intercept:71%,5117,3914287.3
