District,Transit_Station_Count
Chatuchak District,14
Bang Khen District,12
Pathum Wan District,9
Khlong Toei District,9
Bang Rak District,5
Din Daeng District,5
Khan Na Yao District,5
Phasi Charoen District,5
Bang Na District,5
Khlong San District,5
Ratchathewi District,4
Bang Sue District,4
Lak Si District,4
Bang Kapi District,4
Wang Thonglang District,4
Bang Phlat District,4
Min Buri District,4
Phaya Thai District,3
Don Mueang District,3
Bangkok Yai District,3
Prawet District,3
Suan Luang District,3
Thon Buri District,3
Phra Nakhon District,2
Bangkok Noi District,2
Bang Khae District,2
Phra Khanong District,2
Samphanthawong District,1
Huai Khwang District,1
Vadhana District,1
Pom Prap Sattru Phai District,0
Dusit District,0
Lat Phrao District,0
Sai Mai District,0
Taling Chan District,0
Thawi Watthana District,0
Nong Khaem District,0
Bueng Kum District,0
Khlong Sam Wa District,0
Saphan Sung District,0
Chom Thong District,0
Rat Burana District,0
Thung Khru District,0
Bang Bon District,0
Bang Khun Thian District,0
Sathon District,0
Bang Kho Laem District,0
Yan Nawa District,0
Lat Krabang District,0
Nong Chok District,0
