District,Population_Pct_BMA,UHII_CoolDry_Night_C,UHII_CoolDry_Evening_C,UHII_HotDry_Night_C,UHII_HotDry_Evening_C,UHII_Wet_Night_C,UHII_Wet_Evening_C
Bang Bon,1.84,3.1,2.6,1.0,0.9,2.5,1.6
Bang Kapi,2.57,3.6,3.4,1.6,2.7,2.4,2.4
Bang Khae,3.5,3.0,3.1,1.3,1.4,2.6,1.8
Bang Khen,3.37,2.9,2.9,1.6,3.3,1.8,2.0
Bang Kho Laem,1.44,4.3,3.4,1.4,1.6,2.9,2.1
Bang Khun Thian,3.36,2.8,1.6,0.8,0.6,2.3,1.4
Bang Na,1.57,3.8,3.2,1.5,1.9,2.6,2.2
Bang Phlat,1.59,4.4,3.8,1.7,2.5,3.0,2.5
Bang Rak,0.8,4.7,3.9,1.7,2.3,3.2,2.7
Bang Sue,2.17,4.5,3.9,2.0,3.2,3.0,2.7
Bangkok Noi,1.81,4.2,3.7,1.5,2.1,2.9,2.3
Bangkok Yai,1.12,4.5,3.9,1.6,1.9,3.1,2.3
Bueng Kum,2.51,3.5,3.4,1.7,3.1,2.3,2.4
Chatuchak,2.8,4.3,3.8,2.0,3.1,2.8,2.5
Chom Thong,2.61,4.2,3.2,1.3,1.1,2.8,1.9
Din Daeng,2.02,4.7,4.0,1.9,2.7,3.1,2.8
Don Mueang,3.03,3.2,2.9,1.8,3.7,1.9,1.8
Dusit,1.43,4.5,3.8,1.7,2.6,3.0,2.5
Huai Khwang,1.52,4.2,3.6,1.6,2.3,2.7,2.5
Khan Na Yao,1.74,2.8,2.8,1.4,2.8,1.8,1.9
Khlong Sam Wa,3.81,0.6,0.9,0.5,2.3,0.4,0.5
Khlong San,1.21,4.6,3.7,1.6,1.9,3.1,2.3
Khlong Toei,1.65,4.0,3.3,1.3,1.5,2.6,2.0
Lak Si,1.83,4.0,3.5,2.0,3.6,2.5,2.2
Lat Krabang,3.25,0.7,0.8,0.4,1.4,0.7,0.7
Lat Phrao,2.08,4.0,3.6,1.8,3.1,2.6,2.5
Min Buri,2.57,0.9,1.2,0.6,2.0,0.7,0.9
Nong Chok,3.3,-0.2,0.2,-0.2,1.5,-0.1,0.0
Nong Khaem,2.83,2.6,2.7,1.0,1.1,2.4,1.6
Pathum Wan,0.74,4.6,3.9,1.7,2.4,3.1,2.6
Phasi Charoen,2.22,3.9,3.6,1.5,1.5,2.9,2.1
Phaya Thai,1.19,4.7,4.0,1.9,2.8,3.2,2.7
Phra Khanon,1.57,3.8,3.3,1.5,2.0,2.5,2.2
Phra Nakhon,0.76,4.7,3.9,1.7,2.3,3.2,2.5
Pom Prap Sattru Phai,0.72,4.8,4.0,1.8,2.5,3.3,2.7
Prawet,3.33,2.8,2.6,1.2,1.8,2.0,1.8
Rat Burana,1.39,4.0,2.9,1.2,1.2,2.7,1.8
Ratchathewi,1.21,4.7,4.1,1.9,2.6,3.2,2.7
Sai Mai,3.8,2.3,2.6,1.5,3.5,1.3,1.6
Samphanthawong,0.37,4.8,4.0,1.7,2.3,3.2,2.6
Saphan Sung,1.75,2.6,2.6,1.2,2.2,1.8,1.9
Sathon,1.32,4.5,3.8,1.6,2.0,3.1,2.4
Suan Luang,2.23,3.7,3.4,1.6,2.4,2.5,2.4
Taling Chan,1.85,3.3,3.4,1.4,1.9,2.7,2.0
Thawi Watthana,1.44,1.6,2.0,0.9,1.6,2.0,1.3
Thon Buri,1.81,4.5,3.7,1.4,1.7,3.0,2.2
Thung Khru,2.25,3.0,1.5,0.8,0.7,2.1,1.2
Wang Thonglang,1.9,4.2,3.7,1.7,2.7,2.7,2.6
Watthana,1.47,4.3,3.7,1.5,2.0,2.8,2.4
Yan Nawa,1.35,4.0,3.2,1.4,1.5,2.7,2.0
