district,office_name_th,built_year_CE,building_age_years,note
Phra Nakhon,สำนักงานเขตพระนคร,1914,112,
Phra Nakhon,ศาลาว่าการกรุงเทพมหานคร (เสาชิงช้า),1956,70,
Khlong San,สำนักงานเขตคลองสาน,1960,66,
Bang Sue,สำนักงานเขตบางซื่อ,1993,33,
Sathon,สำนักงานเขตสาทร,1994,32,
Bang Kho Laem,สำนักงานเขตบางคอแหลม,1994,32,
Din Daeng,ศาลาว่าการกรุงเทพมหานคร 2 (ดินแดง),2011,15,
Pathum Wan,สำนักงานเขตปทุมวัน,,,relocated 1963 (not a build year)
Vadhana,สำนักงานเขตวัฒนา,,,leased commercial building (not BMA)
Yan Nawa,สำนักงานเขตยานนาวา,,,unknown
Thon Buri,สำนักงานเขตธนบุรี,,,unknown
Bang Phlat,สำนักงานเขตบางพลัด,,,unknown
Pom Prap Sattru Phai,สำนักงานเขตป้อมปราบศัตรูพ่าย,,,unknown
Bang Rak,สำนักงานเขตบางรัก,,,unknown
Khlong Toei,สำนักงานเขตคลองเตย,,,unknown
Bang Na,สำนักงานเขตบางนา,,,unknown
Ratchathewi,สำนักงานเขตราชเทวี,,,unknown
Phaya Thai,สำนักงานเขตพญาไท,,,unknown
Bangkok Yai,สำนักงานเขตบางกอกใหญ่,,,unknown
